Tract FIPS Code,tract_id,county,hra,coc
6013383000,13383000,Contra Costa,0,0
6013384000,13384000,Contra Costa,0,0
6013385100,13385100,Contra Costa,1,0
6013385200,13385200,Contra Costa,0,0
6013386000,13386000,Contra Costa,0,1
6013387000,13387000,Contra Costa,0,0
6013388000,13388000,Contra Costa,0,0
6013389100,13389100,Contra Costa,1,0
6013389200,13389200,Contra Costa,0,1
6013390100,13390100,Contra Costa,1,0
6013390200,13390200,Contra Costa,1,0
6013391000,13391000,Contra Costa,1,0
6013392000,13392000,Contra Costa,1,0
6013392200,13392200,Contra Costa,0,0
6013392300,13392300,Contra Costa,0,0
6013990000,13990000,Contra Costa,0,0
6041101100,41101100,Marin,0,0
6041101200,41101200,Marin,1,0
6041102100,41102100,Marin,1,0
6041102202,41102202,Marin,1,0
6041102203,41102203,Marin,0,0
6041103100,41103100,Marin,1,0
6041103200,41103200,Marin,1,0
6041104101,41104101,Marin,0,0
6041104102,41104102,Marin,0,0
6041104200,41104200,Marin,0,0
6041104300,41104300,Marin,0,0
6041105000,41105000,Marin,0,0
6041106001,41106001,Marin,0,0
6041106002,41106002,Marin,0,0
6041107000,41107000,Marin,1,0
6041108100,41108100,Marin,1,0
6041108200,41108200,Marin,1,1
6041109001,41109001,Marin,0,0
6041109002,41109002,Marin,1,0
6041110100,41110100,Marin,0,0
6041110200,41110200,Marin,0,0
6041111000,41111000,Marin,0,0
6041112100,41112100,Marin,0,0
6041112201,41112201,Marin,0,1
6041112202,41112202,Marin,0,1
6041113000,41113000,Marin,0,0
6041114100,41114100,Marin,1,0
6041114200,41114200,Marin,1,0
6041115000,41115000,Marin,1,0
6041116000,41116000,Marin,1,0
6041117000,41117000,Marin,1,0
6041118100,41118100,Marin,1,0
6041119100,41119100,Marin,1,0
6041119201,41119201,Marin,1,0
6041119202,41119202,Marin,1,0
6041120000,41120000,Marin,1,0
6041121100,41121100,Marin,1,0
6041121200,41121200,Marin,1,0
6041122000,41122000,Marin,0,0
6041123000,41123000,Marin,1,0
6041124100,41124100,Marin,1,0
6041124200,41124200,Marin,1,0
6041125000,41125000,Marin,1,0
6041126100,41126100,Marin,1,0
6041126200,41126200,Marin,1,0
6041127000,41127000,Marin,1,0
6041128100,41128100,Marin,1,0
6041128200,41128200,Marin,1,0
6041129000,41129000,Marin,0,1
6041130201,41130201,Marin,1,0
6041130202,41130202,Marin,1,0
6041131100,41131100,Marin,1,0
6041132100,41132100,Marin,1,0
6041132200,41132200,Marin,0,0
6041133000,41133000,Marin,0,0
6041990100,41990100,Marin,0,0
6055200201,55200201,Napa,0,0
6055200202,55200202,Napa,0,1
6055200203,55200203,Napa,0,0
6055200301,55200301,Napa,0,1
6055200302,55200302,Napa,0,0
6055200400,55200400,Napa,0,0
6055200501,55200501,Napa,0,0
6055200503,55200503,Napa,0,0
6055200504,55200504,Napa,0,0
6055200505,55200505,Napa,0,0
6055200601,55200601,Napa,0,0
6055200602,55200602,Napa,0,0
6055200703,55200703,Napa,0,0
